endpoint,window_size,ROC_AUC,PR_AUC
Endpoint 1,30,1.0,1.0
Endpoint 1,40,1.0,1.0
Endpoint 1,50,1.0,1.0
Endpoint 10,30,0.9967592806353311,0.9861079831757557
Endpoint 10,40,0.9978647924702061,0.9909385029580245
Endpoint 10,50,0.9919000011195576,0.9817343211560884
Endpoint 2,30,0.9995145631067961,0.7
Endpoint 2,40,0.9997842037116962,0.8333333333333333
Endpoint 2,50,0.999190501888829,0.7
Endpoint 3,30,0.9634422516984794,0.008771929824561403
Endpoint 3,40,0.9585849870578085,0.010309278350515464
Endpoint 3,50,0.9519956850053938,0.011111111111111112
Endpoint 4,30,0.9999961039770603,0.9999846111701343
Endpoint 4,40,0.9999919322307381,0.9999683398367942
Endpoint 4,50,0.9999892106512451,0.9999508037201295
Endpoint 5,30,0.9969235751295337,0.4163961038961039
Endpoint 5,40,0.9953563714902808,0.5348069105691057
Endpoint 5,50,0.9933819556996218,0.503419452887538
Endpoint 6,30,0.9995869109793161,0.9374176548089592
Endpoint 6,40,0.9999459108610991,0.9861111111111112
Endpoint 6,50,0.9992555495397942,0.9060457516339869
Endpoint 7,30,0.9992722697540546,0.9916030128048174
Endpoint 7,40,0.9995004182544845,0.9944535635023958
Endpoint 7,50,1.0,1.0
Endpoint 8,30,1.0,1.0
Endpoint 8,40,1.0,1.0
Endpoint 8,50,1.0,1.0
Endpoint 9,30,1.0,1.0
Endpoint 9,40,1.0000000000000002,1.0
Endpoint 9,50,1.0,1.0
